mysql> select * from rt2;
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| createdDate         | sequenceNumber | frameType | latitude | longitude | c1   | c2   | c3   | c4   | c5   | c6   | c7   | c8   | c9   | c10  | c11  | c12  |
| 2014-08-09 18:44:30 |       11413563 |         0 | 72.26    | 8.25      |  940 |    0 |  765 |    0 |    0 |  931 |    0 |  217 |    0 |  370 |  767 |    0 |
| 2014-08-09 18:44:35 |       11413563 |         1 | 72.53    | 7.75      |  940 |    0 |  765 |    0 |    0 |  931 |    0 |  217 |    0 |  370 |  767 |    0 |
| 2014-08-09 18:44:40 |       11413563 |         2 | 72.79    | 7.22      |  943 |    0 |  763 |    0 |    0 |  931 |    0 |  227 |    0 |  371 |  803 |    0 |
| 2014-08-09 18:44:45 |       11413563 |         3 | 73.06    | 6.68      |  943 |    0 |  763 |    0 |    0 |  931 |    0 |  227 |    0 |  371 |  803 |    0 |
| 2014-08-09 18:44:45 |       11413563 |         4 | 73.06    | 6.68      |  945 |    0 |  764 |    0 |    0 |  933 |    0 |  238 |    0 |  371 |  765 |    0 |
| 2014-08-09 18:44:55 |       11413563 |         5 | 73.59    | 5.56      |  945 |    0 |  764 |    0 |    0 |  933 |    0 |  238 |    0 |  371 |  765 |    0 |
| 2014-08-09 18:44:55 |       11413563 |         6 | 73.59    | 5.55      |  946 |    0 |  764 |    0 |    0 |  934 |    0 |  251 |    0 |  960 |  749 |    0 |
| 2014-08-09 18:45:05 |       11413563 |         7 | 74.12    | 4.36      |  946 |    0 |  764 |    0 |    0 |  934 |    0 |  251 |    0 |  960 |  749 |    0 |
| 2014-08-09 18:45:05 |       11413563 |         8 | 74.12    | 4.35      |  946 |    0 |  765 |    0 |    0 |  935 |    0 |  262 |  993 |  380 |  695 |    0 |
| 2014-08-09 18:45:15 |       11413563 |         9 | 74.63    | 3.09      |  946 |    0 |  765 |    0 |    0 |  935 |    0 |  262 |  993 |  380 |  695 |    0 |
| 2014-08-09 18:45:20 |       11413563 |        10 | 74.89    | 2.42      |  948 |    0 |  766 |    0 |    0 |  935 |    0 |  274 |  983 |  380 |  693 |    0 |
| 2014-08-09 18:45:25 |       11413563 |        11 | 75.14    | 1.73      |  948 |    0 |  766 |    0 |    0 |  935 |    0 |  274 |  983 |  380 |  693 |    0 |
| 2014-08-09 18:45:30 |       11413563 |        12 | 75.39    | 1.02      |  950 |    0 |  769 |    0 |    0 |  935 |    0 |  287 |  978 |  380 |  724 |    0 |
| 2014-08-09 18:45:40 |       11413563 |        13 | 75.89    | 359.52    |  950 |    0 |  769 |    0 |    0 |  935 |    0 |  287 |  978 |  380 |  724 |    0 |
| 2014-08-09 18:45:40 |       11413563 |        14 | 75.89    | 359.52    |  951 |    0 |  773 |    0 |    0 |  936 |    0 |  297 |  978 |  383 |  710 |    0 |
| 2014-08-09 18:45:50 |       11413563 |        15 | 76.38    | 357.93    |  951 |    0 |  773 |    0 |    0 |  936 |    0 |  297 |  978 |  383 |  710 |    0 |
| 2014-08-09 18:45:50 |       11413563 |        16 | 76.38    | 357.92    |  955 |    0 |  776 |    0 |    0 |  937 |    0 |  312 |  977 |  385 |  698 |    0 |
| 2014-08-09 18:46:00 |       11413563 |        17 | 76.86    | 356.22    |  955 |    0 |  776 |    0 |    0 |  937 |    0 |  312 |  977 |  385 |  698 |    0 |
| 2014-08-09 18:46:00 |       11413563 |        18 | 76.86    | 356.21    |  959 |    0 |  780 |    0 |    0 |  938 |    0 |  322 |  976 |  384 |  684 |    0 |
| 2014-08-09 20:12:45 |       11413607 |         3 | 40.22    | 6.39      |  710 |    0 |    0 |  655 |    0 |  880 |    0 |  651 |    0 |  832 |    0 |  683 |
| 2014-08-09 20:12:50 |       11413607 |         4 | 40.52    | 6.29      |  653 |    0 |    0 |  892 |    0 |  873 |    0 |  634 |    0 |  807 |    0 |  697 |
| 2014-08-09 20:12:55 |       11413607 |         5 | 40.83    | 6.19      |  653 |    0 |    0 |  892 |    0 |  873 |    0 |  634 |    0 |  807 |    0 |  697 |
| 2014-08-09 20:13:00 |       11413607 |         6 | 41.13    | 6.09      |  694 |    0 |    0 |  868 |    0 |  866 |    0 |  617 |    0 |  778 |    0 |  713 |
| 2014-08-09 20:13:05 |       11413607 |         7 | 41.44    | 5.99      |  694 |    0 |    0 |  868 |    0 |  866 |    0 |  617 |    0 |  778 |    0 |  713 |
| 2014-08-09 20:13:10 |       11413607 |         8 | 41.73    | 5.89      |  680 |    0 |    0 |  874 |    0 |  860 |    0 |  599 |    0 |  748 |    0 |  729 |
| 2014-08-09 20:13:15 |       11413607 |         9 | 42.04    | 5.79      |  680 |    0 |    0 |  874 |    0 |  860 |    0 |  599 |    0 |  748 |    0 |  729 |
| 2014-08-09 20:13:20 |       11413607 |        10 | 42.34    | 5.68      |  830 |    0 |    0 |  687 |    0 |  853 |    0 |  582 |    0 |  713 |    0 |  745 |
| 2014-08-09 20:13:25 |       11413607 |        11 | 42.64    | 5.58      |  830 |    0 |    0 |  687 |    0 |  853 |    0 |  582 |    0 |  713 |    0 |  745 |
| 2014-08-09 20:13:30 |       11413607 |        12 | 42.94    | 5.48      |  730 |    0 |    0 |  875 |    0 |  847 |    0 |  563 |    0 |  682 |    0 |  764 |
| 2014-08-09 20:13:35 |       11413607 |        13 | 43.25    | 5.37      |  730 |    0 |    0 |  875 |    0 |  847 |    0 |  563 |    0 |  682 |    0 |  764 |
| 2014-08-09 20:13:40 |       11413607 |        14 | 43.55    | 5.27      |  680 |    0 |    0 |  887 |    0 |  841 |    0 |  544 |    0 |  647 |    0 |  783 |
